Age,lx,dx
0,10000000,41800
1,9958200,10656
2,9947544,9849
3,9937695,9739
4,9927956,9432
5,9918524,8927
6,9909597,8523
7,9901074,7921
8,9893153,7519
9,9885634,7316
10,9878318,7212
11,9871106,7601
12,9863505,8384
13,9855121,9757
14,9845364,11323
15,9834041,13080
16,9820961,14830
17,9806131,16377
18,9789754,17426
19,9772328,18177
20,9754151,18533
21,9735618,18596
22,9717022,18366
23,9698656,18040
24,9680616,17619
25,9662997,17104
26,9645893,16688
27,9629205,16466
28,9612739,16342
29,9596397,16410
30,9579987,16574
31,9563413,17023
32,9546390,17470
33,9528920,18201
34,9510719,19022
35,9491697,20028
36,9471669,21217
37,9450452,22682
38,9427770,24324
39,9403446,26236
40,9377210,28320
41,9348890,30758
42,9318132,33173
43,9284959,35933
44,9249026,38754
45,9210272,41907
46,9168365,45109
47,9123256,48536
48,9074720,52089
49,9022631,56031
50,8966600,60166
51,8906434,65017
52,8841417,70378
53,8771039,76396
54,8694643,83121
55,8611522,90163
56,8521359,97655
57,8423704,105213
58,8318491,113049
59,8205442,121195
60,8084247,129995
61,7954252,139518
62,7814734,149965
63,7664769,161421
64,7503348,173628
65,7329720,186322
66,7143398,198944
67,6944454,211390
68,6733064,223471
69,6509593,235452
70,6274141,247892
71,6026249,260937
72,5765312,274718
73,5490594,289025
74,5201569,302680
75,4898889,314460
76,4584429,323340
77,4261089,328616
78,3932473,329935
79,3602538,328012
80,3274526,323655
81,2950871,317160
82,2633711,308803
83,2324908,298193
84,2026715,284247
85,1742468,266511
86,1475957,245142
87,1230815,220993
88,1009822,195169
89,814653,168870
90,645783,143216
91,502567,119099
92,383468,97190
93,286278,77900
94,208378,61660
95,146718,48412
96,98306,37804
97,60502,29054
98,31448,20693
99,10755,10755
